response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0657,0.0000,0.0000,0.0000,0.0656,0.0000,200,7.8213
0.0666,0.0000,0.0000,0.0000,0.0665,0.0000,200,7.8870
0.0678,0.0000,0.0000,0.0000,0.0678,0.0000,200,7.9536
0.0689,0.0000,0.0000,0.0000,0.0688,0.0000,200,8.0214
0.0678,0.0000,0.0000,0.0000,0.0677,0.0000,200,8.0903
0.0930,0.0000,0.0000,0.0000,0.0929,0.0001,200,8.1581
0.0588,0.0000,0.0000,0.0000,0.0587,0.0000,200,8.2511
0.0613,0.0000,0.0000,0.0000,0.0612,0.0000,200,8.3098
0.0715,0.0000,0.0000,0.0000,0.0714,0.0001,200,8.3711
0.0788,0.0000,0.0000,0.0000,0.0787,0.0000,200,8.4426
0.0672,0.0000,0.0000,0.0000,0.0671,0.0001,200,8.5215
0.0652,0.0000,0.0000,0.0000,0.0651,0.0000,200,8.5886
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,200,8.6538
0.0662,0.0000,0.0000,0.0000,0.0661,0.0000,200,8.7194
0.0660,0.0000,0.0000,0.0000,0.0659,0.0000,200,8.7856
0.0665,0.0000,0.0000,0.0000,0.0664,0.0001,200,8.8516
0.0759,0.0000,0.0000,0.0000,0.0758,0.0001,200,8.9181
0.0757,0.0000,0.0000,0.0000,0.0756,0.0001,200,8.9940
0.0670,0.0000,0.0000,0.0000,0.0669,0.0001,200,9.0697
0.0675,0.0000,0.0000,0.0000,0.0674,0.0000,200,9.1367
0.0661,0.0000,0.0000,0.0000,0.0661,0.0000,200,9.2041
0.0666,0.0000,0.0000,0.0000,0.0665,0.0001,200,9.2703
0.0662,0.0000,0.0000,0.0000,0.0661,0.0000,200,9.3369
0.0721,0.0000,0.0000,0.0000,0.0720,0.0001,200,9.4030
0.0704,0.0000,0.0000,0.0000,0.0703,0.0000,200,9.4752
0.0673,0.0000,0.0000,0.0000,0.0672,0.0000,200,9.5455
0.0693,0.0000,0.0000,0.0000,0.0693,0.0000,200,9.6128
0.0664,0.0000,0.0000,0.0000,0.0663,0.0000,200,9.6822
0.0668,0.0000,0.0000,0.0000,0.0667,0.0000,200,9.7485
0.0691,0.0000,0.0000,0.0000,0.0690,0.0000,200,9.8153
0.0693,0.0000,0.0000,0.0000,0.0692,0.0000,200,9.8844
0.0757,0.0000,0.0000,0.0000,0.0756,0.0000,200,9.9537
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,10.0294
0.0661,0.0000,0.0000,0.0000,0.0660,0.0000,200,10.0988
0.0682,0.0000,0.0000,0.0000,0.0681,0.0000,200,10.1649
0.0671,0.0000,0.0000,0.0000,0.0670,0.0000,200,10.2330
0.0676,0.0000,0.0000,0.0000,0.0675,0.0000,200,10.3001
0.0672,0.0000,0.0000,0.0000,0.0671,0.0000,200,10.3677
0.0676,0.0000,0.0000,0.0000,0.0675,0.0000,200,10.4348
0.0807,0.0000,0.0000,0.0000,0.0806,0.0001,200,10.5024
0.0653,0.0000,0.0000,0.0000,0.0652,0.0001,200,10.5831
0.0687,0.0000,0.0000,0.0000,0.0687,0.0000,200,10.6484
0.0660,0.0000,0.0000,0.0000,0.0659,0.0001,200,10.7172
0.0674,0.0000,0.0000,0.0000,0.0673,0.0001,200,10.7832
0.0664,0.0000,0.0000,0.0000,0.0663,0.0000,200,10.8506
